component,name,Boundary_n,flow_direction
Line,42,B8,1
Line,48,B9,-1
Line,34,B14,1
Line,78,SW1,1
Line,46,B8,1
Line,67,B4,1
Line,37,EC5,-1
Line,63,B6,1
Line,55,B7a,1
Line,61,LE1,1
Line,70,B3b,1
Line,58,NW2,1
Line,81,B14,-1
Line,31,B13,1
Line,69,B2,1
Line,69,B1a,1
Line,65,B5,1
Line,80,LE1,1
Line,66,B5,1
Line,66,B3b,1
Line,66,B4,1
Line,45,B8,1
Line,47,B9,-1
Line,64,NW1,1
Line,32,SC1,1
Line,52,B7a,1
Line,59,SC1.5,-1
Line,59,SC1,1
Line,80,B14,1
Line,38,B9,1
Line,60,SC1,1
Line,44,B8,1
Line,68,B2,1
Line,71,B1a,1
Line,72,B0,1
Line,54,B7a,1
Line,49,B9,-1
Line,49,SW1,1
Line,39,B9,1
Line,73,B13,1
Line,36,EC5,-1
Line,35,SC3,-1
Line,33,LE1,-1
Line,43,B9,-1
Line,57,NW3,1
Line,57,NW2,1
Line,31,SC1.5,1
Line,79,LE1,1
Line,76,LE1,1
Line,76,B14,1
Line,56,NW3,1
Line,79,B14,1
Line,61,SC2,1
Line,74,B13,1
Link,relation/15775538-600-DC,B7a,-1
Link,relation/15775538-600-DC,B6,-1
Link,relation/8099179-320-DC,B0,1
